regGB_GPU_ID reg:0x2640
regCC_RB_DAISY_CHAIN reg:0x2641
regGB_ADDR_CONFIG_READ reg:0x2642
regGB_TILE_MODE0 reg:0x2644
regGB_TILE_MODE1 reg:0x2645
regGB_TILE_MODE2 reg:0x2646
regGB_TILE_MODE3 reg:0x2647
regGB_TILE_MODE4 reg:0x2648
regGB_TILE_MODE5 reg:0x2649
regGB_TILE_MODE6 reg:0x264a
regGB_TILE_MODE7 reg:0x264b
regGB_TILE_MODE8 reg:0x264c
regGB_TILE_MODE9 reg:0x264d
regGB_TILE_MODE10 reg:0x264e
regGB_TILE_MODE11 reg:0x264f
regGB_TILE_MODE12 reg:0x2650
regGB_TILE_MODE13 reg:0x2651
regGB_TILE_MODE14 reg:0x2652
regGB_TILE_MODE15 reg:0x2653
regGB_TILE_MODE16 reg:0x2654
regGB_TILE_MODE17 reg:0x2655
regGB_TILE_MODE18 reg:0x2656
regGB_TILE_MODE19 reg:0x2657
regGB_TILE_MODE20 reg:0x2658
regGB_TILE_MODE21 reg:0x2659
regGB_TILE_MODE22 reg:0x265a
regGB_TILE_MODE23 reg:0x265b
regGB_TILE_MODE24 reg:0x265c
regGB_TILE_MODE25 reg:0x265d
regGB_TILE_MODE26 reg:0x265e
regGB_TILE_MODE27 reg:0x265f
regGB_TILE_MODE28 reg:0x2660
regGB_TILE_MODE29 reg:0x2661
regGB_TILE_MODE30 reg:0x2662
regGB_TILE_MODE31 reg:0x2663
regGB_MACROTILE_MODE0 reg:0x2664
regGB_MACROTILE_MODE1 reg:0x2665
regGB_MACROTILE_MODE2 reg:0x2666
regGB_MACROTILE_MODE3 reg:0x2667
regGB_MACROTILE_MODE4 reg:0x2668
regGB_MACROTILE_MODE5 reg:0x2669
regGB_MACROTILE_MODE6 reg:0x266a
regGB_MACROTILE_MODE7 reg:0x266b
regGB_MACROTILE_MODE8 reg:0x266c
regGB_MACROTILE_MODE9 reg:0x266d
regGB_MACROTILE_MODE10 reg:0x266e
regGB_MACROTILE_MODE11 reg:0x266f
regGB_MACROTILE_MODE12 reg:0x2670
regGB_MACROTILE_MODE13 reg:0x2671
regGB_MACROTILE_MODE14 reg:0x2672
regGB_MACROTILE_MODE15 reg:0x2673
regCB_HW_CONTROL reg:0x2680
